model,problem_index,gsm8k_index,baseline_truth,high_scale_truth,delta,within_problem_auc
Llama-3-70B-Instruct,89,873,0.985125,1.0,0.014874999999999972,0.9948722541928838
Llama-3-70B-Instruct,90,885,0.963,1.0,0.03700000000000003,1.0
Llama-3-70B-Instruct,91,893,0.998875,1.0,0.0011250000000000426,0.9997497184332373
Llama-3-70B-Instruct,92,895,0.999875,1.0,0.00012500000000004174,1.0
Llama-3-70B-Instruct,93,950,0.722125,1.0,0.277875,1.0
Llama-3-70B-Instruct,94,951,0.959,1.0,0.041000000000000036,1.0
Llama-3-70B-Instruct,95,953,0.905125,1.0,0.09487500000000004,1.0
Llama-3-70B-Instruct,96,958,0.84175,1.0,0.15825,1.0
Llama-3-70B-Instruct,97,961,0.999875,1.0,0.00012500000000004174,1.0
Llama-3-70B-Instruct,98,970,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,99,997,0.654625,1.0,0.345375,0.9862625209651721
Llama-3-70B-Instruct,100,1000,0.996125,1.0,0.003874999999999962,1.0
Llama-3-70B-Instruct,101,1017,0.99075,1.0,0.00924999999999998,1.0
Llama-3-70B-Instruct,102,1019,0.309,0.0,-0.309,0.05499276410998555
Llama-3-70B-Instruct,103,1026,0.998125,1.0,0.00187499999999996,1.0
Llama-3-70B-Instruct,104,1034,0.997125,1.0,0.002874999999999961,1.0
Llama-3-70B-Instruct,105,1044,0.980875,1.0,0.019124999999999948,1.0
Llama-3-70B-Instruct,106,1047,0.748375,1.0,0.251625,1.0
Llama-3-70B-Instruct,107,1050,0.612375,1.0,0.387625,1.0
Llama-3-70B-Instruct,108,1082,0.7501249999999999,1.0,0.24987500000000007,1.0
Llama-3-70B-Instruct,109,1090,0.999875,1.0,0.00012500000000004174,1.0
Llama-3-70B-Instruct,110,1121,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,111,1124,0.838875,1.0,0.16112499999999996,1.0
Llama-3-70B-Instruct,112,1127,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,113,1132,0.9876250000000001,1.0,0.012374999999999914,0.9998734337425642
Llama-3-70B-Instruct,114,1144,0.96975,1.0,0.03025,1.0
Llama-3-70B-Instruct,115,1152,0.9986250000000001,1.0,0.001374999999999904,0.9999089657369793
Llama-3-70B-Instruct,116,1153,0.973875,1.0,0.026124999999999954,1.0
Llama-3-70B-Instruct,117,1154,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,118,1243,0.9995,1.0,0.0004999999999999449,1.0
Llama-3-70B-Instruct,119,1264,0.999625,1.0,0.0003750000000000142,1.0
Llama-3-70B-Instruct,120,1267,0.20637500000000003,0.0,-0.20637500000000003,0.0002362576783745407
Llama-3-70B-Instruct,121,1273,0.975375,1.0,0.024625000000000008,1.0
Llama-3-70B-Instruct,122,1278,1.0,1.0,0.0,nan
Llama-3-70B-Instruct,123,1283,0.9998750000000001,1.0,0.00012499999999993072,0.9996249531191399
Llama-3-70B-Instruct,124,1290,0.999625,1.0,0.0003750000000000142,1.0
Llama-3-70B-Instruct,125,1312,0.979,1.0,0.02100000000000002,1.0
Llama-3-70B-Instruct,126,1315,0.999125,1.0,0.0008749999999999591,1.0
